filename,module_name,module_params,execution_time,passage_reranker_retrieval_f1,passage_reranker_retrieval_recall,passage_reranker_retrieval_precision,is_best
0.parquet,pass_reranker,{'top_k': 3},1.1285146077473959e-05,0.5,1.0,0.33333333333333326,True
1.parquet,tart,{'top_k': 3},24.444392251968384,0.4666666666666667,0.9333333333333333,0.31111111111111106,False
2.parquet,upr,{'top_k': 3},23.08003158569336,0.5,1.0,0.33333333333333326,False
